,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
73,Christian Wood,DAL,44,25,19,28.5,0.9,0.4,1.5,26.2,0.1,0.8,12.1,29.2
74,Chuma Okeke,ORL,18,5,13,21.8,0.4,0.2,0.6,30.0,0.1,0.2,25.0,35.0
75,Clint Capela,ATL,40,22,18,26.8,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
76,Coby White,CHI,47,23,24,21.7,1.1,0.5,1.5,31.9,0.2,0.7,28.1,38.4
77,Cody Martin,CHA,7,2,5,19.1,0.3,0.1,1.4,10.0,0.0,0.7,0.0,10.0
78,Cole Anthony,ORL,38,18,20,25.2,3.2,1.4,3.4,41.9,0.3,0.9,34.3,46.5
79,Cole Swider,LAL,6,1,5,6.7,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0
80,Collin Sexton,UTA,43,22,21,23.9,2.6,1.0,2.3,46.4,0.5,0.9,50.0,56.7
81,Corey Kispert,WAS,46,21,25,27.4,0.4,0.2,0.5,30.4,0.1,0.3,38.5,41.3
82,Cory Joseph,DET,37,9,28,15.7,1.5,0.6,1.8,36.4,0.2,0.7,29.6,42.4
83,D'Angelo Russell,LAL,54,27,27,32.9,6.6,2.7,6.2,43.9,1.2,3.0,39.4,53.3
84,Daishen Nix,HOU,40,11,29,15.5,0.9,0.3,0.8,38.7,0.3,0.7,39.3,56.5
85,Dalano Banton,TOR,24,12,12,9.7,0.5,0.2,1.1,19.2,0.1,0.5,18.2,23.1
86,Dalen Terry,CHI,20,11,9,3.2,0.1,0.1,0.1,50.0,0.0,0.1,0.0,50.0
87,Damian Jones,UTA,22,6,16,8.0,0.0,0.0,0.0,-,0.0,0.0,-,-
88,Damian Lillard,POR,43,22,21,36.2,10.0,3.7,9.2,40.3,2.5,6.9,36.9,54.0
89,Damion Lee,PHX,57,30,27,22.3,0.8,0.4,1.3,30.7,0.0,0.2,15.4,32.0
90,Daniel Gafford,WAS,52,23,29,18.4,0.1,0.1,0.1,100,-,-,-,100
91,Daniel Theis,IND,4,1,3,14.0,0.0,0.0,0.0,-,0.0,0.0,-,-
92,Danny Green,HOU,3,1,2,14.5,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0
93,Danuel House Jr.,PHI,35,22,13,15.4,1.2,0.5,1.0,47.1,0.3,0.7,45.8,63.2
94,Dario Saric,OKC,37,17,20,14.4,0.4,0.2,0.5,30.0,0.0,0.1,25.0,32.5
95,Darius Bazley,PHX,36,16,20,15.4,0.1,0.1,0.3,20.0,0.0,0.0,100,25.0
96,Darius Days,HOU,1,0,1,2.4,0.0,0.0,0.0,-,-,-,-,-
97,Darius Garland,CLE,47,25,22,35.3,7.7,3.2,7.6,42.0,1.4,3.7,37.2,51.0
98,David Duke Jr.,BKN,15,7,8,9.1,0.0,0.0,0.1,0.0,0.0,0.0,-,0.0
99,David Roddy,MEM,45,28,17,17.8,0.5,0.2,0.5,43.5,0.1,0.2,30.0,50.0
100,Davion Mitchell,SAC,53,30,23,18.2,1.2,0.5,1.5,34.1,0.2,0.7,28.6,40.2
101,Davis Bertans,DAL,34,17,17,10.6,0.5,0.2,0.2,75.0,0.1,0.2,71.4,106.3
102,Davon Reed,LAL,35,23,12,9.0,0.6,0.3,0.8,32.1,0.1,0.2,66.7,39.3
