,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
406,Reggie Jackson,LAC,52,28,24,25.7,52.1,0.4,0.1,0.1,57.1,0.1,0.1,100.0,0.2,57.1,0.2,47.6,0.1,30.0,0.0,9.5,0.0,9.5
407,Richaun Holmes,SAC,33,16,17,9.1,10.7,1.4,0.5,0.6,76.2,0.1,0.1,100.0,1.0,75.6,0.5,40.0,0.0,5.6,0.1,6.7,0.0,2.2
408,Ricky Rubio,CLE,12,8,4,16.3,40.8,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,60.0,0.2,66.7,0.1,20.0,0.0,0.0
409,Robert Covington,LAC,35,15,20,15.9,28.3,0.3,0.0,0.0,0.0,0.0,0.1,50.0,0.0,11.1,0.2,66.7,0.1,66.7,0.0,11.1,0.0,11.1
410,Robert Williams III,BOS,20,13,7,23.5,30.1,1.3,0.3,0.4,71.4,0.0,0.0,0.0,0.6,44.0,0.8,64.0,0.3,31.3,0.1,8.0,0.0,0.0
411,Robin Lopez,CLE,29,21,8,8.1,8.8,1.2,0.2,0.5,50.0,0.1,0.1,100.0,0.7,55.9,0.4,35.3,0.1,16.7,0.1,11.8,0.1,5.9
412,Rodney McGruder,DET,20,2,18,10.7,10.7,0.2,0.1,0.1,100.0,0.0,0.0,0.0,0.1,66.7,0.1,66.7,0.1,50.0,0.0,0.0,0.0,0.0
413,Romeo Langford,SAS,31,10,21,20.3,23.2,0.4,0.1,0.2,50.0,0.1,0.1,100.0,0.3,61.5,0.2,46.2,0.0,16.7,0.0,0.0,0.0,7.7
414,Ron Harper Jr.,TOR,3,2,1,3.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,Royce O'Neale,BKN,51,29,22,34.2,64.7,0.4,0.0,0.1,66.7,0.0,0.0,0.0,0.1,25.0,0.3,80.0,0.1,43.8,0.0,5.0,0.0,0.0
416,Rudy Gay,UTA,41,21,20,14.6,22.5,0.4,0.1,0.1,83.3,0.1,0.1,100.0,0.3,93.3,0.1,40.0,0.0,16.7,0.0,0.0,0.0,6.7
417,Rudy Gobert,MIN,47,22,25,30.4,42.5,3.6,0.8,1.4,57.8,0.4,0.7,60.6,2.1,58.9,1.5,42.3,0.3,18.3,0.2,6.0,0.3,9.5
418,Rui Hachimura,LAL,37,20,17,24.7,35.0,0.8,0.3,0.6,50.0,0.0,0.0,0.0,0.6,73.3,0.2,26.7,0.1,50.0,0.0,0.0,0.0,0.0
419,Russell Westbrook,UTA,52,25,27,28.7,62.9,0.5,0.1,0.3,28.6,0.0,0.0,100.0,0.2,45.8,0.1,20.8,0.0,40.0,0.0,0.0,0.0,4.2
420,Ryan Arcidiacono,NYK,11,7,4,2.4,3.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
421,Ryan Rollins,GSW,12,5,7,5.2,11.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0
422,Saben Lee,PHX,16,10,6,15.2,35.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,0.2,60.0,0.0,0.0,0.0,0.0
423,Saddiq Bey,DET,51,12,39,28.9,40.7,0.5,0.1,0.3,50.0,0.1,0.1,100.0,0.4,64.3,0.2,39.3,0.0,9.1,0.0,3.6,0.0,7.1
424,Sam Hauser,BOS,53,37,16,14.7,17.5,0.2,0.0,0.1,40.0,0.0,0.0,0.0,0.1,36.4,0.1,54.5,0.1,50.0,0.0,0.0,0.0,0.0
425,Sandro Mamukelashvili,MIL,21,14,7,8.3,12.2,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0
426,Santi Aldama,MEM,51,30,21,22.0,29.3,0.7,0.2,0.3,68.8,0.1,0.2,50.0,0.5,72.2,0.3,38.9,0.1,28.6,0.0,5.6,0.0,2.8
427,Scottie Barnes,TOR,53,24,29,35.1,74.0,2.5,0.5,0.9,51.0,0.2,0.2,80.0,1.1,45.1,1.3,53.4,0.3,19.7,0.1,4.5,0.1,3.8
428,Scotty Pippen Jr.,LAL,6,1,5,5.3,12.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0
429,Serge Ibaka,IND,16,11,5,11.6,13.5,1.0,0.1,0.3,50.0,0.0,0.0,0.0,0.3,25.0,0.7,68.8,0.0,0.0,0.1,6.3,0.0,0.0
